"","game_date","home_team","team","batting_team","pitcher_name","mlbam_playerid","hr","bb","hbp","so","ip","year","fip","playoff_game","home_away"
"32","2013-10-07","Tampa Bay Rays","Tampa Bay Rays","Boston Red Sox","Alex Cobb",502171,0,2,1,4,4.67,2013,3.26213276231263,1,"H"
"33","2013-10-08","Los Angeles Dodgers","Atlanta Braves","Los Angeles Dodgers","Freddy Garcia",150119,2,2,0,6,5.67,2013,6.57533686067019,1,"A"
"34","2013-10-08","Los Angeles Dodgers","Los Angeles Dodgers","Atlanta Braves","Clayton Kershaw",477132,0,1,0,6,6.33,2013,1.6261990521327,1,"H"
"35","2013-10-08","Detroit Tigers","Detroit Tigers","Oakland Athletics","Doug Fister",450729,1,1,0,1,6,2013,5.38133333333333,1,"H"
"36","2013-10-08","Detroit Tigers","Oakland Athletics","Detroit Tigers","Dan Straily",573185,1,0,1,8,5.33,2013,3.048,1,"A"
"37","2013-10-09","Tampa Bay Rays","Boston Red Sox","Tampa Bay Rays","Jake Peavy",408241,0,0,0,3,5.67,2013,1.98979894179894,1,"A"
"38","2013-10-09","Tampa Bay Rays","Tampa Bay Rays","Boston Red Sox","Jeremy Hellickson",476451,0,2,0,0,1,2013,9.048,1,"H"
"39","2013-10-10","St. Louis Cardinals","Pittsburgh Pirates","St. Louis Cardinals","Gerrit Cole",543037,1,1,0,5,5,2013,4.248,1,"A"
"40","2013-10-10","St. Louis Cardinals","St. Louis Cardinals","Pittsburgh Pirates","Adam Wainwright",425794,0,1,0,6,9,2013,2.048,1,"H"
"41","2013-10-11","Oakland Athletics","Detroit Tigers","Oakland Athletics","Justin Verlander",434378,0,1,0,10,8,2013,0.923,1,"A"
"42","2013-10-11","Oakland Athletics","Oakland Athletics","Detroit Tigers","Sonny Gray",543243,1,4,0,3,5,2013,6.848,1,"H"
"43","2013-10-12","St. Louis Cardinals","Los Angeles Dodgers","St. Louis Cardinals","Zack Greinke",425844,0,1,0,10,8,2013,0.923,1,"A"
"44","2013-10-12","St. Louis Cardinals","St. Louis Cardinals","Los Angeles Dodgers","Joe Kelly",523260,0,2,1,5,6,2013,2.88133333333333,1,"H"
"45","2013-10-12","St. Louis Cardinals","Los Angeles Dodgers","St. Louis Cardinals","Clayton Kershaw",477132,0,1,0,5,6,2013,1.88133333333333,1,"A"
"46","2013-10-12","St. Louis Cardinals","St. Louis Cardinals","Los Angeles Dodgers","Michael Wacha",608379,0,1,0,8,6.67,2013,1.09897451274363,1,"H"
"47","2013-10-13","Boston Red Sox","Boston Red Sox","Detroit Tigers","Jon Lester",452657,0,1,2,4,6.33,2013,3.20597788309637,1,"H"
"48","2013-10-13","Boston Red Sox","Detroit Tigers","Boston Red Sox","Aníbal Sánchez",434671,0,6,0,12,6.33,2013,2.1001327014218,1,"A"
"49","2013-10-14","Boston Red Sox","Boston Red Sox","Detroit Tigers","Clay Buchholz",453329,2,0,1,6,5.67,2013,6.04623633156966,1,"H"
"50","2013-10-14","Boston Red Sox","Detroit Tigers","Boston Red Sox","Max Scherzer",453286,0,2,1,13,7,2013,0.619428571428572,1,"A"
